ESTACION,ANO,MES,DIA,BEN,CH4,CO,EBE,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,SO2,TCH,TOL
55,2001,1,1,,,,,,,,,,,,,,
55,2001,1,2,,,,,,,,,,,,,,
55,2001,1,3,,,,,,,,,,,,,,
55,2001,1,4,,,,,,,,,,,,,,
55,2001,1,5,,,,,,,,,,,,,,
55,2001,1,6,,,,,,,,,,,,,,
55,2001,1,7,,,,,,,,,,,,,,
55,2001,1,8,,,,,,,,,,,,,,
55,2001,1,9,,,,,,,,,,,,,,
55,2001,1,10,,,,,,,,,,,,,,
55,2001,1,11,,,,,,,,,,,,,,
55,2001,1,12,,,,,,,,,,,,,,
55,2001,1,13,,,,,,,,,,,,,,
55,2001,1,14,,,,,,,,,,,,,,
55,2001,1,15,,,,,,,,,,,,,,
55,2001,1,16,,,,,,,,,,,,,,
55,2001,1,17,,,,,,,,,,,,,,
55,2001,1,18,,,,,,,,,,,,,,
55,2001,1,19,,,,,,,,,,,,,,
55,2001,1,20,,,,,,,,,,,,,,
55,2001,1,21,,,,,,,,,,,,,,
55,2001,1,22,,,,,,,,,,,,,,
55,2001,1,23,,,,,,,,,,,,,,
55,2001,1,24,,,,,,,,,,,,,,
55,2001,1,25,,,,,,,,,,,,,,
55,2001,1,26,,,,,,,,,,,,,,
55,2001,1,27,,,,,,,,,,,,,,
55,2001,1,28,,,,,,,,,,,,,,
55,2001,1,29,,,,,,,,,,,,,,
55,2001,1,30,,,,,,,,,,,,,,
55,2001,1,31,,,,,,,,,,,,,,
55,2001,2,1,,,,,,,,,,,,,,
55,2001,2,2,,,,,,,,,,,,,,
55,2001,2,3,,,,,,,,,,,,,,
55,2001,2,4,,,,,,,,,,,,,,
55,2001,2,5,,,,,,,,,,,,,,
55,2001,2,6,,,,,,,,,,,,,,
55,2001,2,7,,,,,,,,,,,,,,
55,2001,2,8,,,,,,,,,,,,,,
55,2001,2,9,,,,,,,,,,,,,,
55,2001,2,10,,,,,,,,,,,,,,
55,2001,2,11,,,,,,,,,,,,,,
55,2001,2,12,,,,,,,,,,,,,,
55,2001,2,13,,,,,,,,,,,,,,
55,2001,2,14,,,,,,,,,,,,,,
55,2001,2,15,,,,,,,,,,,,,,
55,2001,2,16,,,,,,,,,,,,,,
55,2001,2,17,,,,,,,,,,,,,,
55,2001,2,18,,,,,,,,,,,,,,
55,2001,2,19,,,,,,,,,,,,,,
55,2001,2,20,,,,,,,,,,,,,,
55,2001,2,21,,,,,,,,,,,,,,
55,2001,2,22,,,,,,,,,,,,,,
55,2001,2,23,,,,,,,,,,,,,,
55,2001,2,24,,,,,,,,,,,,,,
55,2001,2,25,,,,,,,,,,,,,,
55,2001,2,26,,,,,,,,,,,,,,
55,2001,2,27,,,,,,,,,,,,,,
55,2001,2,28,,,,,,,,,,,,,,
55,2001,3,1,,,,,,,,,,,,,,
55,2001,3,2,,,,,,,,,,,,,,
55,2001,3,3,,,,,,,,,,,,,,
55,2001,3,4,,,,,,,,,,,,,,
55,2001,3,5,,,,,,,,,,,,,,
55,2001,3,6,,,,,,,,,,,,,,
55,2001,3,7,,,,,,,,,,,,,,
55,2001,3,8,,,,,,,,,,,,,,
55,2001,3,9,,,,,,,,,,,,,,
55,2001,3,10,,,,,,,,,,,,,,
